,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
0,0,0,0,0,0,0,0,0,3,1,6,4,0,5,6,4,5,7,4,4,5,5,0,0,805068803.7351617,471153386.0199404,0.0,10860.923703170607,0.07713608747578635,0.0,0.0
1,0,0,0,0,0,0,0,0,1,6,7,3,0,4,6,5,2,0,1,4,5,5,0,7,89090383.70471306,511853824.32862127,0.0,1607.7474668432474,0.021120209114886282,0.018698409964799264,0.0
2,0,1,0,0,0,0,0,0,3,7,1,1,9,1,0,8,1,4,1,1,5,4,0,2,6951836.480608226,483211899.7548388,61400000.0,432.9576162693632,0.0001678964205408447,0.0004097757184261327,0.0
3,1,1,1,0,0,0,0,0,3,3,0,0,0,1,0,1,4,3,0,5,6,2,2,0,36971749.42871704,239797418.0035688,600300000.0,2188.9658791510537,0.001753231938145988,0.005263608459870253,0.0
4,0,1,0,1,0,0,0,0,0,2,0,0,6,3,0,6,0,7,5,0,2,2,0,3,0.0,314874750.41701883,702800000.0,0.0,0.0,0.0,0.0
5,0,0,0,0,0,0,0,0,0,3,2,1,0,2,0,5,5,3,5,4,1,5,7,1,628880256.532409,419234475.8179298,84600000.0,0.0,0.48962753134171827,0.0,0.0
6,0,1,0,1,0,0,0,0,0,2,4,0,0,2,0,6,0,3,2,7,2,2,0,3,78658468.7048096,284794691.49755293,485000000.0,0.0,0.06137173016201264,0.0,0.0
7,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0,4,0,6,6,7,1,1,0,0,79746084.14324097,228874293.82575718,321100000.0,0.0,0.03506478299058587,0.0648433737149832,0.0
8,0,1,0,0,0,0,0,0,0,7,6,1,4,0,5,8,0,4,1,8,5,5,0,0,5229773.896104155,463339556.53211516,30700000.0,0.0,0.0013991368378403724,0.002439505443942804,0.0
9,1,0,0,0,0,0,0,0,3,7,3,0,0,2,1,7,1,3,6,6,9,5,0,1,19448822.570459466,418363387.0775025,30700000.0,1143.8255511689379,0.002512354094847167,0.0,0.0
10,0,1,0,0,0,0,0,0,2,7,2,1,6,1,1,8,6,4,6,1,3,2,3,2,12219489.383669792,565037211.949463,30700000.0,675.9887535401729,0.0002098705256760559,0.0,0.0018165155334901417
11,1,1,0,1,0,0,0,0,0,5,3,0,2,1,0,4,0,1,1,6,1,3,2,0,28809545.295808997,325534092.9555891,351800000.0,0.0,0.00050371317570926,0.05254131799861144,0.0
12,1,1,1,1,1,0,0,1,4,4,0,0,1,0,4,4,0,0,6,6,6,2,6,0,938315.9913953841,285150810.74095607,1014200000.0,64.42232769983409,0.00011554566567383553,0.0,0.0
13,0,0,0,0,0,0,0,0,1,6,6,4,5,5,0,9,3,0,4,10,2,1,0,3,56467078.65181568,510819530.65862894,0.0,798.3471116456196,0.012916219174563915,0.0,0.0048673922980225545
14,1,0,0,0,0,0,0,0,3,7,3,0,0,3,0,3,1,0,7,6,7,5,0,1,126458368.93422157,334690560.16393316,30700000.0,6452.832972035658,0.0018919528291053277,0.02582667176173619,0.0
15,0,0,1,1,0,0,0,0,3,2,3,0,0,2,0,4,0,5,1,6,6,6,0,0,794547176.0487187,260184140.1072493,327000000.0,12381.39705401255,0.07119326664295988,0.006300067587449554,0.0
16,1,1,0,0,0,0,0,0,0,2,0,3,1,0,0,4,0,4,3,4,5,7,0,1,180357694.7591347,286386636.17805827,363800000.0,0.0,0.1257736507395467,0.0,0.0
17,0,1,1,0,0,0,0,0,0,4,4,0,0,1,0,3,1,0,1,5,7,2,0,7,61069550.08541736,297532648.92102563,351800000.0,0.0,0.018635351218581425,0.08265038139559987,0.0
18,0,0,0,0,0,0,0,0,0,6,6,0,4,0,7,7,0,3,1,8,3,5,5,0,52070000.03266243,451534173.0363425,0.0,0.0,0.03587838659601087,0.018869905576226267,0.0
19,1,1,0,1,0,0,0,0,3,0,0,3,0,1,0,1,3,0,5,6,5,2,3,0,1656183884.9748898,227876275.26565936,382500000.0,20674.86511873408,0.137041176189727,0.0,0.0
20,1,1,0,0,0,0,0,0,0,4,3,0,1,0,0,4,0,7,1,1,1,4,2,1,36567078.47139503,315185657.62233454,315200000.0,0.0,0.01513512935507539,0.037003844541384244,0.0
21,0,1,0,0,0,0,0,0,3,7,0,1,6,1,0,4,0,7,2,1,10,4,2,3,57390554.752563566,426575390.0116802,30700000.0,2655.905281827096,0.0003357928410816894,0.012555758720888991,0.0
22,0,0,1,0,0,0,0,0,3,6,0,0,1,2,0,0,7,5,2,0,4,3,0,0,548684961.9815131,261952893.79469,236500000.0,34298.43785546486,0.00061440282912631,0.1294085259148558,0.0
23,0,0,0,0,0,0,0,0,2,2,4,0,0,2,0,4,0,0,0,2,6,5,0,8,318521991.59563625,272450404.29522455,169200000.0,11292.430461618771,0.010073445849516433,0.0674297355339293,0.0
24,0,0,0,1,0,0,0,0,0,0,4,0,0,2,0,3,0,0,1,4,4,6,0,0,820210978.4877946,182954158.80229,321100000.0,0.0,0.5775149167885422,0.13749666516706555,0.0
25,0,1,0,0,0,0,0,0,0,6,0,0,1,2,0,0,0,7,8,1,4,1,4,0,700287573.3788116,274518011.4787102,146000000.0,0.0,0.005045043118358464,1.2216381158547838,0.0
26,1,1,0,0,0,0,0,0,0,8,0,4,0,2,1,2,0,0,7,4,7,2,0,7,166119609.89669067,366802857.3091986,61400000.0,0.0,0.0190530345865593,0.2643473001435107,0.0
27,0,0,1,1,0,0,0,0,3,6,0,0,3,2,0,3,0,7,2,7,7,5,0,0,53105743.85673957,296527729.3317722,442300000.0,2581.604851599911,0.0,0.012255373722391862,0.0
28,0,1,0,0,0,0,0,0,3,6,0,1,0,1,0,2,0,7,4,0,1,2,2,3,481449857.04857147,306444371.5957956,30700000.0,22062.397497506256,0.01103986477110379,0.08033021660533296,0.0
29,1,1,0,1,0,0,0,0,3,3,3,0,0,0,0,3,1,0,5,5,6,3,3,0,31161355.15968135,241415567.93120325,382500000.0,1390.9408749061436,0.0025784572007987723,0.0018808365728107718,0.0
30,0,0,0,0,0,0,0,0,3,2,4,0,0,2,0,4,5,1,0,4,5,5,0,5,145048156.59281436,320477966.1278921,169200000.0,6474.9419663421595,0.008058756679613144,0.017866828454813532,0.0
31,0,0,1,1,0,0,0,0,1,6,0,0,7,1,0,0,3,0,7,7,0,2,0,0,774135629.2259951,266500240.41175473,327000000.0,21362.157529043834,0.0,0.5337701829973562,0.0
32,0,1,1,0,0,0,0,0,3,3,1,1,1,0,0,5,0,4,4,2,4,1,0,0,670073971.9328706,269108904.29428786,236500000.0,9448.746232914345,0.06159478022944907,0.0,0.0
33,1,1,1,0,0,0,0,0,3,5,0,0,0,1,0,0,7,4,3,2,5,1,2,0,1716940423.279345,243058302.13641784,213300000.0,19192.191268482937,0.1430340057966819,0.0,0.0
34,1,0,0,1,0,0,0,0,3,2,0,3,0,0,0,3,0,3,0,6,4,0,4,1,184423458.51199865,219911860.35481954,485000000.0,2683.7820134996373,0.015524861585597384,0.0,0.0
35,1,1,0,1,0,0,0,0,0,6,4,0,2,0,0,2,0,0,2,7,2,2,5,0,81440124.05989161,283549127.0935196,569600000.0,0.0,0.0015111395271277801,0.1456784887147759,0.0
36,0,1,1,1,0,0,0,0,0,6,0,0,0,2,0,3,0,6,0,1,6,1,0,0,76027019.86984806,206837133.4389169,357700000.0,0.0,0.024221969210511552,0.09988417552231182,0.0
37,0,0,0,0,0,0,0,0,3,2,3,0,0,2,1,3,0,0,3,4,4,4,0,0,2131365547.873401,255226266.40160695,0.0,28420.23247081133,0.17232419491970014,0.020710038019563504,0.0
38,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,3,0,2,6,3,2,0,0,819408434.9319987,150298283.99102953,550900000.0,14662.2393675424,0.05752774123356554,0.023986295884418796,0.0
39,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,3,0,0,6,5,2,3,0,2560307022.540799,169736315.28880423,261300000.0,30822.809073591838,0.2042189530691173,0.00015343627062830935,0.0
40,0,0,0,0,0,0,0,0,0,2,0,7,0,2,0,4,0,3,2,1,0,6,1,7,1827047059.6439364,347938567.817612,0.0,0.0,1.288098162231431,0.018538732269778112,0.0
41,0,1,1,0,0,0,0,0,0,6,0,0,1,2,0,3,0,0,4,6,7,2,0,0,252969006.32534552,239069359.40264535,151900000.0,0.0,0.10763515978803262,0.19157508581507168,0.0
42,1,0,0,0,0,0,0,0,3,1,0,0,7,0,0,5,0,3,7,1,6,3,1,0,2559655239.6971784,260204084.8418699,199900000.0,30781.54762666262,0.2042189530691173,0.0,0.0
43,0,0,0,0,0,0,0,0,2,3,0,3,0,1,0,3,0,0,0,2,6,2,0,1,881665886.804275,226660588.2117302,169200000.0,34271.44853035706,0.010009630973768767,0.2195762304651638,0.0
44,0,0,0,1,0,0,0,0,1,5,0,3,3,2,0,3,0,4,1,7,4,6,0,0,303202799.2563193,326633136.83935267,290400000.0,7330.612791489053,0.00019024590408264517,0.20511106770425616,0.0
45,0,0,0,0,0,0,0,0,3,2,0,3,0,2,1,3,0,0,1,4,3,3,0,0,2498756765.8813376,247104988.5838423,0.0,31609.888743958443,0.2016143840427183,0.015388402135872597,0.0
46,0,1,1,0,0,0,0,0,3,7,0,0,0,2,0,0,0,4,6,6,1,5,0,0,1284502849.3831813,211481432.05220437,151900000.0,70774.64709618523,0.0034363236645317224,0.2644800630402864,0.0
47,0,1,0,0,0,0,0,0,0,7,0,0,1,2,0,7,0,4,0,3,4,2,0,2,22769782.50280155,294542026.74408096,115300000.0,0.0,0.0051700105478486615,0.002317598339875062,0.013520534161173764
48,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,2,0,4,5,5,6,5,2,0,2746874754.310899,241555221.16464734,84600000.0,47296.962424633784,0.20441994087553578,0.040491141021586886,0.0
49,0,1,0,0,0,0,0,0,0,7,4,0,1,2,0,7,1,7,1,1,5,2,0,3,12660322.801700886,400615002.3664081,30700000.0,0.0,0.006558769986537082,0.0032928905494833635,0.00135155170790218
50,0,0,0,0,0,0,0,0,3,2,4,0,0,2,1,3,0,0,7,2,5,5,0,0,1342773700.7328768,271540771.6847883,84600000.0,38327.124687433025,0.06941077500640658,0.12306545546471959,0.0
51,1,1,0,0,0,0,0,0,2,6,0,0,5,3,0,5,3,0,3,1,2,1,0,2,145920317.32993346,311534613.02262187,61400000.0,1805.8488703395228,0.016145273968204896,0.0,0.0
52,0,1,1,0,0,0,0,0,3,5,1,0,0,2,0,2,0,4,7,4,0,5,0,0,313432364.4479438,249077715.26652455,369700000.0,16287.581499075379,0.003908771189200313,0.060798853717964396,0.0
53,1,1,1,0,0,0,0,0,2,3,0,0,0,1,0,1,1,3,1,6,0,4,0,2,62772713.011177085,231968699.70722672,600300000.0,2708.2143194474143,0.0021915399226824853,0.01309112903194193,0.0
54,0,0,0,0,0,0,0,0,3,2,0,0,6,1,0,4,0,0,1,6,6,3,0,1,272375553.38646543,269796509.7956213,333100000.0,3275.49622264597,0.021731149371813877,0.0,0.0
55,0,0,0,0,0,0,0,0,3,2,7,4,3,3,0,4,0,3,3,0,0,1,1,0,900424796.1074202,389098736.3933744,0.0,15044.533107750402,0.07696819105524551,0.02034260945208588,0.0
56,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,4,4,6,0,0,2585475532.9880033,160770068.77871823,199900000.0,0.0,1.7018246089093112,0.045927677641424025,0.0
57,1,0,0,0,0,0,0,0,0,1,0,5,0,2,0,2,0,7,4,0,7,1,0,0,1863312612.4291039,241143812.0803232,61400000.0,0.0,1.318681570850103,0.0,0.0
58,1,1,0,0,0,0,0,0,4,10,0,0,0,2,0,1,0,4,3,5,6,6,2,0,383055732.3460578,296706497.93844014,61400000.0,24520.2252782779,0.0028917693245901314,0.07644471024898133,0.0
59,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,2,0,0,1,6,6,2,0,1,598915758.4762503,196894758.17255947,417700000.0,30574.919226529128,0.002966104227946396,0.12134056812141508,0.0
60,0,0,0,1,0,0,0,0,0,0,7,0,6,2,0,7,0,7,2,0,2,2,0,0,298406.9251557086,306835794.1825609,623500000.0,0.0,0.0,0.000185523067332066,0.0
61,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,3,3,3,3,2,3,2,0,0,1711465256.1807115,219816358.84180498,302400000.0,19166.74621580748,0.17207595186724223,0.015787364724757412,0.0
62,0,1,0,0,0,0,0,0,3,5,3,0,6,1,0,3,0,0,0,5,6,4,0,0,191349505.96321562,300366180.2231039,417700000.0,9333.907061398291,0.0,0.04140181133058671,0.0
63,1,0,0,0,0,0,0,0,3,6,0,2,1,2,0,2,3,0,4,4,6,2,0,1,275915959.506865,328477155.7277589,30700000.0,12027.475554139863,0.008610812783042609,0.0441509616252824,0.0
64,1,1,0,0,0,0,0,0,3,7,2,4,1,2,7,9,2,0,1,5,3,2,1,0,9394660.849752368,496703156.49365395,61400000.0,606.4644451854172,0.0007720563068456261,0.00027811180078500736,0.0
65,1,0,1,1,0,0,0,0,2,2,0,0,6,2,0,5,0,0,4,7,2,5,0,0,2782040.278916502,257776706.07281,690800000.0,104.46067966153318,0.0,0.0007765655060357764,0.0
66,0,0,1,1,0,0,0,0,1,2,0,0,0,2,0,4,0,3,1,7,8,5,0,6,278228631.7988316,260620387.57486776,544800000.0,1762.9415290500406,0.06686730351698417,0.0011924694689529306,0.0
67,0,1,0,0,0,0,0,0,1,7,5,0,1,2,0,7,7,4,9,0,5,2,3,3,5916838.240225706,467793826.99890584,30700000.0,154.81769646932506,0.0023611571951533492,0.0,0.0
68,1,0,0,0,0,0,0,0,3,6,0,0,1,3,0,3,0,7,3,8,5,2,2,3,56646566.550265774,344568939.9799542,146000000.0,2855.6377531048774,0.0006054051742030156,0.011985129411622424,0.0
69,0,0,0,0,0,0,0,0,0,6,0,0,5,6,0,0,3,0,3,4,2,1,2,3,1158188715.4539752,338034002.9393147,84600000.0,0.0,0.0,2.16376516535829,0.0
70,1,1,0,0,0,0,0,0,0,6,0,3,0,2,0,3,0,7,1,1,7,1,0,0,108643672.77302197,270470152.0718937,92100000.0,0.0,0.07175677319202174,0.0,0.013520534161173764
71,1,1,0,0,0,1,0,0,4,3,0,0,0,2,0,5,0,0,2,5,6,0,3,0,62456255.272403695,179353985.17827418,753100000.0,2963.635137292905,0.004300756801187195,0.0004150531808458797,0.002111089466771203
72,0,1,0,0,0,0,0,0,0,4,7,0,1,5,0,6,0,0,1,7,5,4,0,2,823707399.9278072,357347456.8836282,30700000.0,0.0,0.6414015921270461,0.03654420198342901,0.0
73,1,1,0,0,0,0,0,0,0,7,0,0,1,1,0,0,1,5,1,2,2,1,1,0,518465433.58557737,268960948.197002,146000000.0,0.0,0.01513512935507539,0.9206582937574671,0.0
74,1,1,0,0,0,0,0,0,4,0,6,7,0,2,0,1,0,7,5,1,5,2,0,0,910539241.0836264,302249575.3410783,92100000.0,16916.002339393548,0.08127359744676681,0.007602537285939007,0.0016224640993408514
75,0,0,0,1,0,0,0,0,0,0,7,0,0,2,0,2,0,7,1,5,4,4,0,0,1254170604.959103,232731135.62903345,290400000.0,0.0,0.5777648516475226,0.8838670607848647,0.0
76,1,0,1,0,0,0,0,0,2,3,0,0,0,1,0,0,1,1,7,0,3,4,0,3,2215055397.7358336,214880144.7250567,267200000.0,24974.376803702136,0.21217974883101437,0.02541988614399064,0.0
77,0,1,0,1,0,0,0,0,0,6,0,0,0,3,0,0,1,4,1,1,4,1,4,0,440027416.5441501,238946450.86966568,267200000.0,0.0,0.008645238925456654,0.8081948625955411,0.0
78,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,2,0,0,1,6,6,3,3,0,612415368.7894676,163642573.3331081,673800000.0,31575.769699790733,0.005175905089388151,0.11913280562430524,0.0
79,0,1,0,0,0,0,0,0,1,5,0,0,1,2,0,0,0,6,7,0,1,1,0,7,1287021728.5041242,260897327.95823348,115300000.0,33582.14691130586,0.009997859748184333,0.7945736397873058,0.0
80,1,1,0,0,0,0,0,0,3,7,3,4,1,2,0,2,2,0,0,4,4,2,1,0,71524988.01624086,392144098.86291707,61400000.0,3928.6079500196374,0.0007720563068456261,0.015031158534799305,0.0
81,0,1,0,0,0,0,0,0,3,0,3,0,3,5,0,4,1,0,1,6,5,1,1,0,789310796.767005,289738902.4179547,199900000.0,12137.937476489624,0.0697479684442387,0.007892225051684272,0.0
82,0,1,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,3,6,6,4,0,2,2952155756.514727,184864603.56550896,61400000.0,31933.796058717628,0.2886307164571708,0.0334367714319715,0.0
83,0,1,0,0,0,0,0,0,3,0,7,4,0,5,0,6,3,3,5,4,4,0,0,0,880917783.2635648,317484748.46567124,30700000.0,15470.95865991941,0.07713608747578635,0.0,0.008186229094187598
84,0,1,0,1,0,0,0,0,0,0,3,0,0,2,0,1,0,3,1,4,4,4,0,0,2265644009.3813725,191627315.76970142,267200000.0,0.0,1.5108542750143297,0.025826723799442116,0.0
85,0,0,0,0,0,0,0,0,3,10,0,3,1,1,0,0,1,6,5,6,5,4,0,2,1140026892.0943172,391754078.38428336,30700000.0,63260.90745221716,0.001861203797225518,0.24124666582003565,0.0
86,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,6,2,0,1,6,4,2,1,0,2559655239.6971784,187295507.36732435,199900000.0,24776.813904037157,0.25527369133639666,0.0,0.0
87,0,1,0,0,0,0,0,0,3,2,0,0,0,2,0,2,0,0,1,1,7,2,0,1,341965749.4497161,184707759.6794144,363800000.0,6953.352762630135,0.021785317367247932,0.0141782452456081,0.0
88,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,2,1,6,6,7,7,1,0,0,387216342.1318337,259286842.39593822,30700000.0,0.0,0.12131848970200537,0.44523221620733366,0.0
89,0,1,0,0,0,0,0,0,0,5,0,3,3,2,0,6,0,0,6,7,4,2,0,1,1113329227.4725106,329996755.35369164,30700000.0,0.0,0.7946333655371219,0.018272100991714505,0.0
90,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,9,0,7,5,5,0,1,0,6,2425060831.7605996,274554748.42406476,0.0,0.0,1.6801198670226531,0.0,0.0
91,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,7,0,4,0,2,1932405216.9083672,175029673.09476367,538900000.0,0.0,0.024469752221699094,3.2309364700616454,0.0
92,0,1,0,0,0,0,0,0,1,7,2,0,7,2,1,7,6,4,5,1,2,2,3,2,12219489.383669792,529500368.41156286,61400000.0,407.1838138971395,0.0005036892616225341,0.0,0.00435963728037634
93,0,1,0,0,0,0,0,0,0,7,7,0,1,2,0,7,0,7,4,2,5,1,0,2,20816787.804520488,399570807.74097186,30700000.0,0.0,0.006558769986537082,0.0,0.013520534161173764
94,1,0,0,0,0,0,0,0,0,3,6,0,0,3,0,2,1,7,4,3,5,2,0,4,877331160.6928726,335663740.5776227,30700000.0,0.0,0.6414015921270461,0.12843210496767404,0.0
95,1,0,0,0,0,0,0,0,3,1,0,3,0,1,0,0,0,3,4,0,7,1,6,0,1870208541.3710217,231570159.97949648,146000000.0,30945.17986230817,0.1397758289375684,0.037037907401046274,0.0
96,0,1,0,0,0,0,0,0,2,5,0,1,6,2,0,0,0,3,0,5,1,3,0,0,1307379279.32661,284171317.0164043,333100000.0,57367.34325470374,0.0,0.3456421323129818,0.0
97,0,1,0,1,0,0,0,0,1,5,0,0,0,0,0,0,2,6,7,7,0,1,0,0,769376391.0325686,167063794.95772266,236500000.0,21338.226887628087,0.023497265698730847,0.4739321754336159,0.0
98,0,0,0,0,0,0,0,0,2,7,5,4,6,2,3,6,2,0,2,5,5,2,0,2,25755337.920179557,537822357.6374365,30700000.0,1169.6344675983237,0.0002098705256760559,0.002848812930020716,0.0020280801241760646
99,0,1,0,0,0,0,0,0,0,5,0,3,0,2,0,3,0,6,6,7,7,1,0,1,1108459725.7071383,308782899.37320715,30700000.0,0.0,0.7998033760849707,0.0,0.0
100,0,0,0,0,0,0,0,0,3,6,1,7,3,6,7,6,7,0,4,3,2,1,1,3,56905483.02093067,592313460.790428,0.0,1587.6505012916878,0.0044733028120621495,0.0,0.001453212426792113
101,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,3,7,1,1,1,1,0,0,2406207753.535152,222592516.11432245,115300000.0,0.0,1.6071768911552307,0.0,0.0
102,1,1,0,0,0,0,0,0,3,0,6,0,0,2,0,2,0,7,5,1,2,2,0,0,771573659.9793577,217397698.15825623,394500000.0,12427.51569165515,0.06807298435637243,0.005502872326278663,0.0016224640993408514
103,0,1,0,0,0,0,0,0,1,7,0,0,6,1,1,7,1,3,5,1,5,5,3,1,5561552.134272049,458347949.9293009,61400000.0,49.972467499196114,0.0015110677848676022,0.0,0.0
104,0,1,0,0,0,0,0,0,0,5,0,0,0,3,0,2,0,7,1,0,7,1,4,0,417604581.0230589,241207944.70623586,248500000.0,0.0,0.03889198355677217,0.6729403184336731,0.0
105,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,6,3,3,6,6,0,2,2,0,2126990255.063212,263911618.37754118,84600000.0,25558.342007121824,0.16974379906481146,0.0,0.0
106,1,1,0,1,0,0,0,0,0,5,0,0,0,2,0,2,0,1,5,6,7,1,0,0,1716940423.279345,212302815.64944375,182600000.0,0.0,1.1919500483056829,0.0,0.0
107,0,1,0,1,0,0,0,0,1,0,7,0,1,2,0,8,0,6,5,5,2,7,0,0,4315167.025911907,307648707.69816244,841300000.0,137.76519438903097,0.00184320848737893,0.0,0.0
